Date,Nature
2004-01-27,Meeting
2004-03-16,Meeting
2004-05-04,Meeting
2004-06-29,Meeting
2004-08-10,Meeting
2004-09-21,Meeting
2004-11-10,Meeting
2004-12-14,Meeting
2005-02-01,Meeting
2005-03-22,Meeting
2005-05-03,Meeting
2005-06-29,Meeting
2005-08-09,Meeting
2005-09-20,Meeting
2005-11-01,Meeting
2005-12-13,Meeting
2006-01-31,Meeting
2006-03-27,Meeting
2006-05-10,Meeting
2006-06-28,Meeting
2006-08-08,Meeting
2006-09-20,Meeting
2006-10-24,Meeting
2006-12-12,Meeting
2007-01-30,Meeting
2007-03-20,Meeting
2007-05-09,Meeting
2007-06-27,Meeting
2007-08-07,Meeting
2007-08-10,Conference Call
2007-08-16,Conference Call
2007-09-18,Meeting
2007-10-30,Meeting
2007-12-06,Conference Call
2007-12-11,Meeting
2008-01-09,Conference Call
2008-01-21,Conference Call
2008-01-29,Meeting
2008-03-10,Conference Call
2008-03-18,Meeting
2008-04-29,Meeting
2008-06-24,Meeting
2008-07-24,Conference Call
2008-08-05,Meeting
2008-09-16,Meeting
2008-09-29,Conference Call
2008-10-07,Conference Call
2008-10-28,Meeting
2008-12-15,Meeting
2009-01-16,Conference Call
2009-01-27,Meeting
2009-02-07,Conference Call
2009-03-17,Meeting
2009-04-28,Meeting
2009-06-03,Conference Call
2009-06-23,Meeting
2009-08-11,Meeting
2009-09-22,Meeting
2009-11-03,Meeting
2009-12-15,Meeting
2010-01-26,Meeting
2010-03-16,Meeting
2010-04-27,Meeting
2010-05-09,Conference Call
2010-06-22,Meeting
2010-08-10,Meeting
2010-09-21,Meeting
2010-10-15,Conference Call
2010-11-02,Meeting
2010-12-14,Meeting
2011-01-25,Meeting
2011-03-15,Meeting
2011-04-26,Meeting
2011-06-21,Meeting
2011-08-01,Conference Call
2011-08-09,Meeting
2011-09-20,Meeting
2011-11-01,Meeting
2011-11-28,Conference Call
2011-12-13,Meeting
2012-01-24,Meeting
2012-03-13,Meeting
2012-04-24,Meeting
2012-06-19,Meeting
2012-07-31,Meeting
2012-09-12,Meeting
2012-10-23,Meeting
2012-12-11,Meeting
2013-01-29,Meeting
2013-03-19,Meeting
2013-05-30,Meeting
2013-06-18,Meeting
2013-07-30,Meeting
2013-09-17,Meeting
2013-10-16,Unscheduled
2013-10-29,Meeting
2013-12-17,Meeting
2014-01-28,Meeting
2014-03-04,Unscheduled
2014-03-18,Meeting
2014-04-29,Meeting
2014-06-17,Meeting
2014-07-29,Meeting
2014-09-16,Meeting
2014-10-28,Meeting
2014-12-16,Meeting
2015-01-27,Meeting
2015-03-17,Meeting
2015-04-28,Meeting
2015-06-16,Meeting
2015-07-28,Meeting
2015-09-16,Meeting
2015-10-27,Meeting
2015-12-15,Meeting
2016-01-26,Meeting
2016-03-15,Meeting
2016-04-26,Meeting
2016-06-14,Meeting
2016-07-26,Meeting
2016-09-20,Meeting
2016-11-01,Meeting
2016-12-13,Meeting
2017-01-31,Meeting
2017-03-14,Meeting
2017-05-02,Meeting
2017-06-13,Meeting
2017-07-25,Meeting
2017-09-19,Meeting
2017-10-31,Meeting
2017-12-12,Meeting
2018-01-30,Meeting
2018-03-20,Meeting
2018-05-01,Meeting
2018-06-12,Meeting
2018-07-31,Meeting
2018-09-25,Meeting
2018-11-07,Meeting
2018-12-18,Meeting
2019-01-29,
2019-03-19,
2019-05-30,
2019-06-18,
2019-07-30,
2019-09-17,
2019-10-04,Unscheduled
2019-10-29,
2019-12-10,
2020-01-28,
2020-03-03,Unscheduled
2020-03-15,Unscheduled
2020-03-17,Cancelled
2020-03-19,Notation Vote
2020-03-23,Notation Vote
2020-03-31,Notation Vote
2020-04-28,
2020-06-09,
2020-07-28,
2020-08-27,Notation Vote
2020-09-15,
2020-11-04,
2020-12-15,
2021-01-26,
2021-03-16,
2021-04-27,
2021-06-15,
2021-07-27,
2021-09-21,
2021-11-02,
2021-12-14,
2022-01-25,
2022-03-15,
2022-05-03,
2022-06-14,
2022-07-26,
2022-09-20,
2022-11-01,
2022-12-13,
2023-01-31,
2023-03-21,
2023-05-02,
2023-06-13,
2023-07-25,
2023-09-19,
2023-10-31,
2023-12-12,
2024-01-30,
2024-03-19,
2024-05-30,
2024-06-11,
2024-07-30,
2024-09-17,
2024-11-06,
2024-12-17,
2025-01-28,
2025-03-18,
2025-05-06,
2025-06-17,
2025-07-29,
2025-09-16,
2025-10-28,
2025-12-09,
2026-01-27,
2026-03-17,
2026-04-28,
2026-06-16,
2026-07-28,
2026-09-15,
2026-10-27,
2026-12-08,
