Date,Nature,eurusd_before,eurusd_after,gb03_2_last_before,gb03_2_last_after,gb06_2_last_before,gb06_2_last_after,gt03_2_last_before,gt03_2_last_after,tot_spx_before,tot_spx_after,gt10_2_last_before,gt10_2_last_after,gt05_2_last_before,gt05_2_last_after,gb12_2_last_before,gb12_2_last_after,tech_ndx_before,tech_ndx_after
2004-01-27,Meeting,1.2462,1.2646,0.902,0.912,0.965,0.976,2.159,2.107,1155.37,1144.05,4.132,4.076,3.115,3.05,,,1553.66,1519.23
2004-03-16,Meeting,1.2265,1.2273,0.943,0.953,1.004,1.004,1.926,1.854,1104.49,1110.7,3.764,3.681,2.731,2.643,,,1399.87,1407.07
2004-05-04,Meeting,1.1946,1.21,0.973,1.004,1.157,1.188,2.751,2.793,1117.49,1119.55,4.501,4.567,3.613,3.67,,,1415.29,1422.11
2004-06-29,Meeting,1.2186,1.2081,1.307,1.379,1.743,1.744,3.27,3.224,1133.35,1136.2,4.737,4.688,3.952,3.897,,,1493.07,1505.65
2004-08-10,Meeting,1.2273,1.2237,1.48,1.491,1.681,1.754,2.766,2.939,1065.22,1079.04,4.258,4.291,3.432,3.504,,,1318.83,1346.71
2004-09-21,Meeting,1.2176,1.2336,1.695,1.716,1.908,1.94,2.724,2.752,1122.2,1129.3,4.058,4.037,3.267,3.277,,,1424.72,1435.91
2004-11-10,Meeting,1.29,1.2889,2.084,2.064,2.313,2.302,3.079,3.134,1164.08,1162.91,4.228,4.241,3.526,3.557,,,1527.0,1517.06
2004-12-14,Meeting,1.3312,1.3296,2.227,2.228,2.457,2.479,3.155,3.138,1198.68,1203.38,4.149,4.124,3.536,3.515,,,1621.16,1627.46
2005-02-01,Meeting,1.3039,1.3047,2.463,2.515,2.727,2.77,3.399,3.405,1181.27,1189.41,4.13,4.14,3.696,3.703,,,1519.63,1523.66
2005-03-22,Meeting,1.3157,1.3087,2.812,2.864,3.092,3.167,3.911,4.028,1183.79,1171.71,4.525,4.643,4.173,4.311,,,1484.45,1465.09
2005-05-03,Meeting,1.2864,1.2873,2.884,2.906,3.155,3.188,3.692,3.686,1162.16,1161.17,4.188,4.166,3.875,3.865,,,1423.71,1427.61
2005-06-29,Meeting,1.2054,1.207,3.132,3.122,3.345,3.334,3.682,3.682,1201.57,1199.85,3.972,3.98,3.759,3.759,,,1508.61,1504.11
2005-08-09,Meeting,1.2351,1.237,3.501,3.514,3.784,3.786,4.216,4.173,1223.13,1231.38,4.42,4.39,4.277,4.234,,,1589.97,1601.14
2005-09-20,Meeting,1.2142,1.2115,3.522,3.596,3.826,3.87,3.948,3.994,1231.02,1221.35,4.248,4.244,4.023,4.051,,,1586.05,1578.2
2005-11-01,Meeting,1.1992,1.2019,3.883,3.958,4.216,4.25,4.403,4.427,1207.01,1202.76,4.553,4.565,4.443,4.457,,,1579.18,1576.52
2005-12-13,Meeting,1.1954,1.1945,3.914,3.906,4.311,4.335,4.44,4.411,1260.43,1267.43,4.549,4.521,4.451,4.422,,,1698.35,1705.77
2006-01-31,Meeting,1.209,1.2156,4.452,4.465,4.576,4.579,4.472,4.484,1285.2,1280.09,4.527,4.517,4.457,4.454,,,1713.45,1710.75
2006-03-27,Meeting,1.2036,1.2016,4.639,4.628,4.778,4.777,4.665,4.7,1302.95,1301.61,4.671,4.705,4.659,4.691,,,1679.81,1680.63
2006-05-10,Meeting,1.2758,1.2782,4.88,4.869,5.025,5.014,4.977,4.997,1325.14,1322.85,5.123,5.125,5.009,5.02,,,1711.17,1694.82
2006-06-28,Meeting,1.2577,1.2556,5.036,4.994,5.302,5.302,5.213,5.255,1239.2,1246.0,5.202,5.245,5.189,5.233,,,1527.0,1538.25
2006-08-08,Meeting,1.2843,1.2833,5.105,5.099,5.181,5.153,4.894,4.855,1275.77,1271.48,4.921,4.919,4.862,4.841,,,1494.13,1484.8
2006-09-20,Meeting,1.2678,1.2686,4.943,4.921,5.078,5.089,4.713,4.725,1318.31,1325.18,4.735,4.731,4.691,4.694,,,1621.07,1645.35
2006-10-24,Meeting,1.2552,1.2558,5.105,5.119,5.171,5.185,4.845,4.845,1377.02,1377.38,4.83,4.822,4.803,4.8,,,1725.93,1713.88
2006-12-12,Meeting,1.3237,1.3285,4.928,4.932,5.064,5.057,4.546,4.5,1413.04,1411.56,4.52,4.487,4.494,4.452,,,1791.74,1781.97
2007-01-30,Meeting,1.2957,1.297,5.126,5.135,5.171,5.158,4.929,4.904,1420.62,1428.82,4.892,4.871,4.883,4.862,,,1775.08,1777.76
2007-03-20,Meeting,1.3302,1.3318,5.022,5.052,5.121,5.108,4.537,4.514,1402.06,1410.94,4.565,4.551,4.495,4.473,,,1758.23,1767.25
2007-05-09,Meeting,1.3543,1.3528,4.886,4.859,5.012,4.985,4.573,4.627,1507.72,1512.58,4.636,4.667,4.544,4.587,,,1899.83,1905.65
2007-06-27,Meeting,1.3455,1.3453,4.816,4.779,4.991,4.943,4.907,4.931,1492.89,1506.35,5.08,5.082,4.957,4.968,,,1908.64,1933.06
2007-08-07,Meeting,1.3793,1.3736,4.859,4.935,4.918,4.975,4.495,4.543,1467.67,1476.71,4.739,4.77,4.566,4.595,,,1954.37,1961.64
2007-08-10,Conference Call,1.3678,1.3693,4.778,4.547,4.857,4.801,4.476,4.495,1453.09,1453.64,4.77,4.81,4.566,4.594,,,1936.76,1925.14
2007-08-16,Conference Call,1.3442,1.3426,4.093,3.864,4.432,4.293,4.318,4.245,1406.7,1411.27,4.726,4.659,4.452,4.361,,,1864.92,1846.09
2007-09-18,Meeting,1.3867,1.3984,4.09,4.005,4.302,4.076,4.081,3.994,1476.65,1519.78,4.468,4.474,4.204,4.151,,,1983.08,2035.37
2007-10-30,Meeting,1.4425,1.4432,3.966,3.958,4.058,4.061,3.8,3.793,1540.98,1531.02,4.383,4.381,4.051,4.047,,,2203.42,2207.61
2007-12-06,Conference Call,1.461,1.4638,3.058,3.078,3.249,3.259,,,1485.01,1507.35,3.957,4.01,3.325,3.383,,,2099.31,2127.65
2007-12-11,Meeting,1.4712,1.4655,3.036,2.908,3.279,3.17,,,1515.96,1477.65,4.159,3.971,3.556,3.311,,,2134.88,2083.72
2008-01-09,Conference Call,1.4707,1.4659,3.218,3.233,3.212,3.26,,,1390.19,1409.13,3.784,3.823,3.077,3.134,,,1910.33,1949.2
