DATE,GDP,MORTGAGE30US,PCEPI,UNRATE
1995-01-01,7522.289,9.1475,67.127,5.6
1995-02-01,7522.289,8.8275,67.246,5.4
1995-03-01,7522.289,8.462,67.37,5.4
1995-04-01,7580.997,8.32,67.547,5.8
1995-05-01,7580.997,7.955,67.651,5.6
1995-06-01,7580.997,7.566,67.717,5.6
1995-07-01,7683.125,7.6075,67.802,5.7
1995-08-01,7683.125,7.86,67.948,5.7
1995-09-01,7683.125,7.636,67.995,5.6
1995-10-01,7772.586,7.475,68.171,5.5
1995-11-01,7772.586,7.3775,68.169,5.6
1995-12-01,7772.586,7.2,68.3,5.6
1996-01-01,7868.468,7.03,68.452,5.6
1996-02-01,7868.468,7.075,68.56,5.5
1996-03-01,7868.468,7.624,68.767,5.5
1996-04-01,8032.84,7.925,68.973,5.6
1996-05-01,8032.84,8.07,69.092,5.6
1996-06-01,8032.84,8.32,69.091,5.3
1996-07-01,8131.408,8.245,69.237,5.5
1996-08-01,8131.408,8.002,69.303,5.1
1996-09-01,8131.408,8.23,69.499,5.2
1996-10-01,8259.771,7.915,69.709,5.2
1996-11-01,8259.771,7.618,69.833,5.4
1996-12-01,8259.771,7.5975,69.914,5.4
1997-01-01,8362.655,7.824,70.005,5.3
1997-02-01,8362.655,7.65,70.151,5.2
1997-03-01,8362.655,7.8975,70.225,5.2
1997-04-01,8518.825,8.1425,70.294,5.1
1997-05-01,8518.825,7.944,70.262,4.9
1997-06-01,8518.825,7.69,70.352,5.0
1997-07-01,8662.823,7.4975,70.394,4.9
1997-08-01,8662.823,7.48,70.45,4.8
1997-09-01,8662.823,7.43,70.62,4.9
1997-10-01,8765.907,7.294,70.712,4.7
1997-11-01,8765.907,7.205,70.716,4.6
1997-12-01,8765.907,7.095,70.701,4.7
1998-01-01,8866.48,6.994,70.736,4.6
1998-02-01,8866.48,7.0425,70.699,4.6
1998-03-01,8866.48,7.1275,70.71,4.7
1998-04-01,8969.699,7.14,70.798,4.3
1998-05-01,8969.699,7.144,70.895,4.4
